cve_id,description_text,severity,cvss_score,references_count,weaknesses_count,os_count,years_since_published
CVE-2020-14181,,MEDIUM,5.3,4,0,0,5
CVE-2022-37309,,MEDIUM,6.1,4,0,0,3
CVE-2020-1284,,MEDIUM,6.5,2,0,0,5
CVE-2025-4237,,HIGH,7.3,4,0,0,0
CVE-2020-1819,,LOW,3.7,1,0,0,1
CVE-2023-36634,,HIGH,7.1,2,0,0,2
CVE-2022-32510,,HIGH,7.1,8,0,0,1
CVE-2023-4908,,MEDIUM,4.3,14,0,0,2
CVE-2025-1965,,HIGH,7.3,5,0,0,0
CVE-2023-40260,,CRITICAL,9.1,4,0,0,2
CVE-2025-58366,,CRITICAL,9.4,3,0,0,0
CVE-2024-50490,,CRITICAL,9.8,1,0,0,1
CVE-2024-8140,,LOW,3.5,5,0,0,1
CVE-2024-40904,,MEDIUM,5.5,17,0,0,1
CVE-2023-35711,,HIGH,7.8,2,0,0,1
CVE-2022-43952,,LOW,3.5,2,0,0,2
CVE-2025-7547,,HIGH,7.3,6,0,0,0
CVE-2022-24663,,CRITICAL,9.9,2,0,0,3
CVE-2022-0508,,MEDIUM,5.3,4,0,0,3
CVE-2024-54937,,MEDIUM,5.3,1,0,0,1
CVE-2021-34632,,HIGH,8.8,4,0,0,4
CVE-2024-24402,,CRITICAL,9.8,2,0,0,1
CVE-2024-43064,,HIGH,7.5,1,0,0,0
CVE-2020-12770,,MEDIUM,6.7,32,0,0,5
CVE-2024-31996,,CRITICAL,10.0,12,0,0,1
CVE-2025-1841,,HIGH,7.3,5,0,0,0
CVE-2025-43571,,HIGH,7.8,1,0,0,0
CVE-2022-35460,,MEDIUM,6.5,2,0,0,3
CVE-2021-42021,,HIGH,7.5,2,0,0,4
CVE-2024-40539,,CRITICAL,9.8,2,0,0,1
CVE-2024-47356,,MEDIUM,5.1,1,0,0,1
CVE-2023-39708,,MEDIUM,6.1,6,0,0,2
CVE-2024-31477,,HIGH,7.2,2,0,0,1
CVE-2025-1683,,HIGH,7.8,4,0,0,0
CVE-2022-21634,,HIGH,7.5,2,0,0,3
CVE-2020-25629,,HIGH,8.8,2,0,0,5
CVE-2020-7170,,CRITICAL,9.8,2,0,0,5
CVE-2025-42982,,HIGH,8.8,2,0,0,0
CVE-2022-22105,,CRITICAL,9.4,2,0,0,3
CVE-2021-26069,,MEDIUM,5.3,2,0,0,4
CVE-2020-11671,,HIGH,8.1,2,0,0,5
CVE-2022-45297,,CRITICAL,9.8,4,0,0,2
CVE-2023-5697,,LOW,3.5,6,0,0,2
CVE-2023-30876,,MEDIUM,5.9,2,0,0,2
CVE-2022-40074,,HIGH,7.5,2,0,0,3
CVE-2024-43759,,MEDIUM,5.5,1,0,0,1
CVE-2021-3902,,CRITICAL,9.8,2,0,0,1
CVE-2020-11085,,LOW,2.6,8,0,0,5
CVE-2022-48766,,MEDIUM,5.5,4,0,0,1
CVE-2023-25817,,LOW,3.5,4,0,0,2
CVE-2021-45310,,MEDIUM,5.3,2,0,0,3
CVE-2024-46845,,HIGH,7.8,3,0,0,1
CVE-2020-27614,,HIGH,7.8,4,0,0,5
CVE-2025-14138,,MEDIUM,6.1,3,0,0,0
CVE-2024-29999,,MEDIUM,6.8,2,0,0,1
CVE-2023-45622,,HIGH,7.5,2,0,0,2
CVE-2023-26515,,MEDIUM,5.9,2,0,0,2
CVE-2023-4222,,HIGH,7.2,8,0,0,2
CVE-2024-23059,,CRITICAL,9.8,2,0,0,1
CVE-2023-34295,,HIGH,8.8,2,0,0,1
CVE-2020-10546,,CRITICAL,9.8,4,0,0,5
CVE-2025-52937,,LOW,2.0,2,0,0,0
CVE-2025-26536,,HIGH,7.1,1,0,0,0
CVE-2025-7845,,MEDIUM,6.4,4,0,0,0
CVE-2023-24509,,CRITICAL,9.3,2,0,0,2
CVE-2021-28436,,HIGH,7.8,2,0,0,4
CVE-2025-9355,,HIGH,8.8,8,0,0,0
CVE-2023-22686,,MEDIUM,5.4,2,0,0,2
CVE-2022-49396,,MEDIUM,5.5,8,0,0,0
CVE-2025-20891,,MEDIUM,5.3,1,0,0,0
CVE-2025-41750,,HIGH,7.1,1,0,0,0
CVE-2020-20514,,HIGH,8.1,2,0,0,4
CVE-2022-24363,,HIGH,8.8,4,0,0,3
CVE-2023-24548,,MEDIUM,5.3,2,0,0,2
CVE-2022-32020,,CRITICAL,9.8,2,0,0,3
CVE-2021-32993,,HIGH,8.1,2,0,0,4
CVE-2022-36921,,HIGH,8.1,4,0,0,3
CVE-2021-42531,,HIGH,7.8,5,0,0,3
CVE-2022-38985,,HIGH,7.5,4,0,0,3
CVE-2025-52614,,LOW,3.5,1,0,0,0
CVE-2022-27235,,MEDIUM,6.3,4,0,0,3
CVE-2024-10354,,MEDIUM,4.7,5,0,0,1
CVE-2023-27078,,CRITICAL,9.8,2,0,0,2
CVE-2021-29204,,MEDIUM,4.8,2,0,0,4
CVE-2022-46801,,CRITICAL,9.8,2,0,0,2
CVE-2021-24931,,CRITICAL,9.8,4,0,0,4
CVE-2024-5683,,CRITICAL,9.8,2,0,0,1
CVE-2023-23155,,CRITICAL,9.8,6,0,0,2
CVE-2023-2372,,LOW,2.4,6,0,0,2
CVE-2025-29827,,CRITICAL,9.9,1,0,0,0
CVE-2023-32217,,CRITICAL,9.0,2,0,0,2
CVE-2021-45513,,CRITICAL,9.6,2,0,0,4
CVE-2025-3219,,LOW,3.5,4,0,0,0
CVE-2023-37023,,HIGH,8.6,1,0,0,0
CVE-2024-45658,,LOW,2.7,1,0,0,0
CVE-2025-5120,,CRITICAL,10.0,2,0,0,0
CVE-2023-3188,,MEDIUM,6.5,4,0,0,2
CVE-2020-25673,,MEDIUM,5.5,12,0,0,4
CVE-2020-11190,,CRITICAL,9.1,2,0,0,4
CVE-2020-27746,,LOW,3.7,4,0,0,5
CVE-2024-45115,,CRITICAL,9.8,1,0,0,1
CVE-2021-21372,,HIGH,8.3,8,0,0,4
CVE-2022-25131,,CRITICAL,9.8,3,0,0,3
CVE-2022-20239,,CRITICAL,9.8,2,0,0,3
CVE-2024-52439,,CRITICAL,9.8,1,0,0,1
CVE-2020-36447,,HIGH,8.1,4,0,0,4
CVE-2024-43192,,MEDIUM,6.5,1,0,0,0
CVE-2024-7831,,HIGH,8.8,5,0,0,1
CVE-2025-49216,,CRITICAL,9.8,2,0,0,0
CVE-2022-37969,,HIGH,7.8,3,0,0,3
CVE-2020-27402,,HIGH,7.8,10,0,0,5
CVE-2023-27204,,CRITICAL,9.8,4,0,0,2
CVE-2024-33911,,HIGH,7.6,2,0,0,1
CVE-2024-24718,,MEDIUM,4.3,2,0,0,1
CVE-2025-64569,,MEDIUM,5.4,1,0,0,0
CVE-2023-50450,,HIGH,8.4,1,0,0,0
CVE-2020-11925,,HIGH,8.8,4,0,0,4
CVE-2023-49313,,CRITICAL,9.8,4,0,0,2
CVE-2022-34194,,MEDIUM,5.4,2,0,0,3
CVE-2020-15176,,HIGH,8.7,4,0,0,5
CVE-2023-6124,,MEDIUM,4.3,4,0,0,2
CVE-2023-39924,,MEDIUM,5.9,2,0,0,2
CVE-2020-7587,,HIGH,8.2,2,0,0,5
CVE-2024-29869,,MEDIUM,5.5,5,0,0,0
CVE-2022-3560,,MEDIUM,5.5,2,0,0,2
CVE-2024-44721,,CRITICAL,9.8,1,0,0,1
CVE-2025-13668,,MEDIUM,6.7,1,0,0,0
CVE-2022-49664,,MEDIUM,5.5,4,0,0,0
CVE-2024-13122,,LOW,3.5,1,0,0,0
CVE-2025-10587,,CRITICAL,9.8,4,0,0,0
CVE-2024-10297,,MEDIUM,4.7,3,0,0,1
CVE-2024-57645,,HIGH,7.5,1,0,0,0
CVE-2025-1883,,HIGH,7.8,1,0,0,0
CVE-2024-22590,,CRITICAL,9.1,2,0,0,1
CVE-2025-8077,,CRITICAL,9.8,2,0,0,0
CVE-2024-30507,,LOW,2.7,2,0,0,1
CVE-2023-1741,,MEDIUM,4.3,6,0,0,2
CVE-2023-24119,,MEDIUM,6.5,6,0,0,2
CVE-2024-11428,,MEDIUM,6.4,3,0,0,1
CVE-2021-42943,,MEDIUM,5.4,2,0,0,3
CVE-2020-1581,,HIGH,7.8,2,0,0,5
CVE-2021-23839,,LOW,3.7,20,0,0,4
CVE-2020-4183,,MEDIUM,6.1,4,0,0,5
CVE-2024-22808,,HIGH,7.5,2,0,0,1
CVE-2023-36513,,MEDIUM,5.4,2,0,0,2
CVE-2025-62221,,HIGH,7.8,2,0,0,0
CVE-2020-6989,,CRITICAL,9.8,2,0,0,5
CVE-2025-10290,,MEDIUM,6.5,2,0,0,0
CVE-2021-45598,,HIGH,8.4,2,0,0,4
CVE-2025-7194,,HIGH,8.8,5,0,0,0
CVE-2025-10721,,MEDIUM,5.3,5,0,0,0
CVE-2025-24195,,CRITICAL,9.8,6,0,0,0
CVE-2024-21060,,MEDIUM,4.9,4,0,0,1
CVE-2023-28188,,MEDIUM,6.5,4,0,0,2
CVE-2022-3485,,CRITICAL,9.8,2,0,0,3
CVE-2024-44012,,HIGH,7.5,1,0,0,1
CVE-2022-34447,,HIGH,7.2,2,0,0,2
CVE-2024-7258,,HIGH,8.8,5,0,0,1
CVE-2023-2836,,MEDIUM,4.4,6,0,0,2
CVE-2022-43103,,CRITICAL,9.8,2,0,0,3
CVE-2023-45074,,CRITICAL,9.8,2,0,0,2
CVE-2024-10292,,MEDIUM,6.3,4,0,0,1
CVE-2024-39815,,CRITICAL,9.1,1,0,0,1
CVE-2023-50837,,HIGH,7.6,2,0,0,2
CVE-2023-4485,,CRITICAL,9.8,2,0,0,2
CVE-2022-25312,,CRITICAL,9.1,4,0,0,3
CVE-2024-40778,,LOW,3.3,15,0,0,1
CVE-2025-61945,,CRITICAL,10.0,2,0,0,0
CVE-2023-22054,,MEDIUM,4.9,10,0,0,2
CVE-2025-59483,,MEDIUM,6.5,1,0,0,0
CVE-2020-35711,,HIGH,7.5,4,0,0,5
CVE-2025-22689,,MEDIUM,6.5,1,0,0,0
CVE-2023-37864,,HIGH,7.2,2,0,0,2
CVE-2024-37872,,HIGH,8.1,2,0,0,1
CVE-2025-66254,,CRITICAL,9.1,2,0,0,0
CVE-2023-31453,,HIGH,7.5,2,0,0,2
CVE-2023-21232,,LOW,3.3,2,0,0,2
CVE-2024-2451,,MEDIUM,6.4,2,0,0,1
CVE-2025-12416,,MEDIUM,6.1,3,0,0,0
CVE-2021-21050,,HIGH,7.8,2,0,0,4
CVE-2025-7882,,LOW,3.1,4,0,0,0
CVE-2020-24436,,HIGH,7.8,4,0,0,5
CVE-2020-6008,,CRITICAL,9.8,2,0,0,5
CVE-2022-32296,,LOW,3.3,12,0,0,3
CVE-2022-50370,,MEDIUM,5.5,4,0,0,0
CVE-2022-48326,,MEDIUM,6.1,6,0,0,2
CVE-2022-23721,,LOW,3.8,2,0,0,2
CVE-2021-22847,,HIGH,8.8,2,0,0,4
CVE-2023-6141,,MEDIUM,5.4,2,0,0,1
CVE-2022-45157,,CRITICAL,9.1,2,0,0,1
CVE-2024-37465,,MEDIUM,6.5,2,0,0,1
CVE-2025-12946,,MEDIUM,4.4,18,0,0,0
CVE-2020-27746,,LOW,3.7,4,0,0,5
CVE-2023-5201,,CRITICAL,9.9,6,0,0,2
CVE-2023-27409,,LOW,2.5,2,0,0,2
CVE-2021-24353,,HIGH,8.8,4,0,0,4
CVE-2025-24561,,HIGH,7.1,1,0,0,0
CVE-2020-6811,,HIGH,8.8,12,0,0,5
CVE-2024-38430,,MEDIUM,5.4,2,0,0,1
CVE-2021-1477,,MEDIUM,4.3,2,0,0,4
CVE-2025-24761,,HIGH,8.1,1,0,0,0
CVE-2025-27956,,HIGH,7.5,1,0,0,0
CVE-2025-6238,,HIGH,8.0,4,0,0,0
CVE-2022-43384,,MEDIUM,4.6,4,0,0,1
CVE-2021-44195,,LOW,3.3,2,0,0,2
CVE-2021-40940,,CRITICAL,9.8,2,0,0,3
CVE-2023-0091,,LOW,3.8,2,0,0,2
CVE-2023-34425,,CRITICAL,9.8,24,0,0,2
CVE-2020-3853,,HIGH,7.8,8,0,0,5
CVE-2022-38638,,CRITICAL,9.1,2,0,0,3
CVE-2021-30797,,HIGH,8.8,10,0,0,4
CVE-2024-25114,,LOW,2.6,4,0,0,1
CVE-2025-32681,,HIGH,8.5,1,0,0,0
CVE-2025-23254,,HIGH,8.8,1,0,0,0
CVE-2022-1904,,MEDIUM,6.1,2,0,0,3
CVE-2024-39431,,HIGH,8.3,1,0,0,1
CVE-2022-0449,,MEDIUM,6.1,2,0,0,3
CVE-2021-43581,,HIGH,8.8,2,0,0,4
CVE-2020-2120,,HIGH,8.8,4,0,0,5
CVE-2023-28610,,CRITICAL,9.8,4,0,0,2
CVE-2023-33316,,MEDIUM,5.4,2,0,0,2
CVE-2021-47325,,MEDIUM,5.5,10,0,0,1
CVE-2022-38678,,MEDIUM,5.5,2,0,0,2
CVE-2024-58299,,CRITICAL,9.8,3,0,0,0
CVE-2025-39512,,MEDIUM,4.3,1,0,0,0
CVE-2025-10323,,HIGH,7.3,4,0,0,0
CVE-2024-29218,,HIGH,8.8,4,0,0,1
CVE-2024-39153,,MEDIUM,4.7,2,0,0,1
CVE-2025-43983,,CRITICAL,9.1,3,0,0,0
CVE-2022-38794,,HIGH,7.5,2,0,0,3
CVE-2023-28231,,HIGH,8.8,2,0,0,2
CVE-2024-28836,,MEDIUM,5.4,4,0,0,1
CVE-2022-37027,,HIGH,7.2,10,0,0,3
CVE-2021-22463,,MEDIUM,5.5,2,0,0,4
CVE-2022-41435,,MEDIUM,5.4,4,0,0,3
CVE-2023-31289,,HIGH,7.5,2,0,0,2
CVE-2022-50093,,HIGH,7.1,6,0,0,0
CVE-2025-58478,,MEDIUM,4.3,1,0,0,0
CVE-2025-54660,,MEDIUM,5.5,1,0,0,0
CVE-2023-26346,,MEDIUM,5.5,2,0,0,2
CVE-2022-21274,,HIGH,8.1,2,0,0,3
CVE-2023-23086,,CRITICAL,9.8,2,0,0,2
CVE-2023-38336,,CRITICAL,9.8,2,0,0,2
CVE-2025-47672,,HIGH,8.1,1,0,0,0
CVE-2024-42227,,MEDIUM,4.7,4,0,0,1
CVE-2023-40197,,MEDIUM,6.5,2,0,0,2
CVE-2022-36976,,CRITICAL,9.8,4,0,0,2
CVE-2020-7644,,HIGH,8.1,4,0,0,5
CVE-2025-21395,,HIGH,7.8,1,0,0,0
CVE-2025-62065,,CRITICAL,9.9,1,0,0,0
CVE-2023-33833,,LOW,2.9,4,0,0,2
CVE-2023-20743,,MEDIUM,6.7,2,0,0,2
CVE-2020-0041,,HIGH,7.8,3,0,0,5
CVE-2022-37893,,HIGH,7.8,4,0,0,3
CVE-2022-29499,,CRITICAL,9.8,3,0,0,3
CVE-2022-42154,,CRITICAL,9.8,2,0,0,3
CVE-2022-39808,,HIGH,7.8,4,0,0,3
CVE-2021-35247,,MEDIUM,4.3,5,0,0,3
CVE-2023-21057,,CRITICAL,9.8,2,0,0,2
CVE-2021-27412,,HIGH,7.8,2,0,0,4
CVE-2024-50519,,HIGH,7.1,1,0,0,1
CVE-2025-58815,,HIGH,7.2,1,0,0,0
CVE-2024-12578,,MEDIUM,5.3,2,0,0,1
CVE-2024-39906,,HIGH,8.3,4,0,0,1
CVE-2023-1887,,MEDIUM,4.3,4,0,0,2
CVE-2025-55174,,LOW,3.2,3,0,0,0
CVE-2023-35927,,HIGH,7.6,6,0,0,2
CVE-2020-26417,,MEDIUM,5.3,4,0,0,5
CVE-2024-33562,,HIGH,7.1,2,0,0,1
CVE-2022-4152,,MEDIUM,6.5,4,0,0,3
CVE-2024-1114,,MEDIUM,6.5,6,0,0,1
CVE-2024-32292,,HIGH,8.8,2,0,0,1
CVE-2023-6150,,HIGH,7.5,2,0,0,2
CVE-2023-37475,,HIGH,7.5,4,0,0,2
CVE-2025-8477,,HIGH,7.4,1,0,0,0
CVE-2025-28028,,HIGH,7.3,2,0,0,0
CVE-2022-37086,,CRITICAL,9.8,2,0,0,3
CVE-2024-22051,,CRITICAL,9.8,10,0,0,1
CVE-2020-26943,,CRITICAL,9.9,16,0,0,5
CVE-2023-27977,,MEDIUM,6.5,2,0,0,2
CVE-2023-6730,,HIGH,8.8,4,0,0,2
CVE-2020-11188,,CRITICAL,9.1,2,0,0,4
CVE-2025-5074,,HIGH,7.3,4,0,0,0
CVE-2024-30245,,HIGH,7.6,2,0,0,1
CVE-2023-0629,,HIGH,7.1,2,0,0,2
CVE-2023-7016,,HIGH,7.8,2,0,0,1
CVE-2024-21661,,HIGH,7.5,10,0,0,1
CVE-2020-27738,,MEDIUM,6.5,6,0,0,4
CVE-2025-5042,,HIGH,7.8,2,0,0,0
CVE-2024-43142,,MEDIUM,4.3,1,0,0,1
CVE-2022-21938,,HIGH,8.1,4,0,0,3
CVE-2025-48307,,HIGH,7.1,1,0,0,0
CVE-2020-25362,,HIGH,7.5,6,0,0,4
CVE-2024-54887,,HIGH,8.0,2,0,0,0
CVE-2024-12564,,MEDIUM,6.9,1,0,0,1
CVE-2025-32529,,HIGH,7.1,1,0,0,0
CVE-2025-47686,,MEDIUM,6.5,1,0,0,0
CVE-2021-31382,,MEDIUM,6.5,4,0,0,4
CVE-2023-5663,,HIGH,8.8,6,0,0,1
CVE-2022-2906,,HIGH,7.5,6,0,0,3
CVE-2025-43566,,MEDIUM,6.8,1,0,0,0
CVE-2020-14034,,CRITICAL,9.8,6,0,0,5
CVE-2024-46041,,HIGH,8.8,2,0,0,1
CVE-2022-0924,,MEDIUM,5.5,16,0,0,3
CVE-2023-44302,,HIGH,8.1,2,0,0,2
CVE-2022-27123,,CRITICAL,9.8,2,0,0,3
CVE-2023-43814,,LOW,3.7,2,0,0,2
CVE-2022-36911,,MEDIUM,6.5,4,0,0,3
CVE-2025-8545,,LOW,2.4,4,0,0,0
CVE-2023-51550,,LOW,3.3,4,0,0,1
CVE-2025-47622,,MEDIUM,5.9,1,0,0,0
CVE-2024-29511,,HIGH,7.5,6,0,0,1
CVE-2023-24160,,CRITICAL,9.8,2,0,0,2
CVE-2022-39263,,MEDIUM,6.8,4,0,0,3
CVE-2025-66508,,MEDIUM,6.5,2,0,0,0
CVE-2020-2183,,MEDIUM,6.5,4,0,0,5
CVE-2022-45036,,MEDIUM,5.4,2,0,0,3
CVE-2024-45198,,HIGH,8.8,1,0,0,0
CVE-2023-23059,,CRITICAL,9.8,6,0,0,2
CVE-2023-6816,,CRITICAL,9.8,38,0,0,1
CVE-2022-42326,,MEDIUM,5.5,16,0,0,3
CVE-2023-30759,,HIGH,7.8,6,0,0,2
CVE-2021-43711,,CRITICAL,9.8,2,0,0,3
CVE-2020-16023,,HIGH,8.8,4,0,0,4
CVE-2024-13152,,CRITICAL,10.0,1,0,0,0
CVE-2025-29743,,MEDIUM,6.5,1,0,0,0
CVE-2024-10928,,LOW,3.5,4,0,0,1
CVE-2022-39821,,HIGH,7.5,2,0,0,3
CVE-2025-10729,,CRITICAL,9.4,1,0,0,0
CVE-2025-21825,,MEDIUM,4.7,3,0,0,0
CVE-2022-35481,,MEDIUM,6.5,2,0,0,3
CVE-2022-0729,,HIGH,8.8,20,0,0,3
CVE-2024-56433,,LOW,3.6,3,0,0,1
CVE-2024-23049,,CRITICAL,9.8,2,0,0,1
CVE-2023-30737,,MEDIUM,4.0,2,0,0,2
CVE-2022-31779,,HIGH,7.5,8,0,0,3
CVE-2023-29809,,CRITICAL,9.8,6,0,0,2
CVE-2023-49111,,MEDIUM,6.5,5,0,0,1
CVE-2021-39938,,LOW,3.1,4,0,0,4
CVE-2020-14876,,CRITICAL,9.1,4,0,0,5
CVE-2024-7728,,HIGH,7.2,3,0,0,1
CVE-2020-3318,,CRITICAL,9.8,2,0,0,5
CVE-2025-30875,,MEDIUM,5.9,1,0,0,0
CVE-2021-4291,,LOW,3.5,10,0,0,3
CVE-2022-23202,,HIGH,7.0,2,0,0,3
CVE-2025-49081,,MEDIUM,4.9,1,0,0,0
CVE-2020-14573,,LOW,3.7,22,0,0,5
CVE-2024-50611,,HIGH,7.2,3,0,0,1
CVE-2023-48361,,LOW,2.3,2,0,0,1
CVE-2022-38469,,HIGH,7.5,4,0,0,2
CVE-2020-24337,,HIGH,7.5,4,0,0,5
CVE-2023-30643,,HIGH,7.7,2,0,0,2
CVE-2025-66559,,HIGH,8.0,2,0,0,0
CVE-2022-50079,,HIGH,7.1,3,0,0,0
CVE-2024-21091,,MEDIUM,6.5,2,0,0,1
CVE-2024-29645,,HIGH,7.8,3,0,0,1
CVE-2025-10373,,LOW,3.5,5,0,0,0
CVE-2025-50341,,CRITICAL,9.8,2,0,0,0
CVE-2023-0950,,HIGH,7.8,8,0,0,2
CVE-2024-37644,,HIGH,8.8,2,0,0,1
CVE-2024-5985,,MEDIUM,6.3,8,0,0,1
CVE-2020-12471,,CRITICAL,9.8,2,0,0,5
CVE-2024-56066,,CRITICAL,9.8,1,0,0,1
CVE-2024-1117,,HIGH,7.3,6,0,0,1
CVE-2022-31003,,CRITICAL,9.1,10,0,0,3
CVE-2022-26951,,MEDIUM,6.5,4,0,0,3
CVE-2025-47627,,HIGH,7.5,1,0,0,0
CVE-2023-48365,,CRITICAL,9.6,3,0,0,2
CVE-2025-9330,,HIGH,7.8,2,0,0,0
CVE-2021-41200,,MEDIUM,5.5,6,0,0,4
CVE-2023-31077,,HIGH,8.8,2,0,0,2
CVE-2023-21920,,MEDIUM,4.9,10,0,0,2
CVE-2021-3429,,MEDIUM,5.5,2,0,0,2
CVE-2023-3243,,HIGH,8.3,2,0,0,2
CVE-2024-0540,,MEDIUM,6.3,6,0,0,1
CVE-2025-11584,,HIGH,7.3,5,0,0,0
CVE-2023-4067,,MEDIUM,6.1,4,0,0,2
CVE-2022-23292,,LOW,3.7,2,0,0,3
CVE-2024-47781,,MEDIUM,6.1,3,0,0,1
CVE-2021-37998,,HIGH,8.8,8,0,0,4
CVE-2021-45885,,HIGH,7.5,4,0,0,4
CVE-2025-61815,,HIGH,7.8,1,0,0,0
CVE-2025-52964,,MEDIUM,6.5,1,0,0,0
CVE-2025-10371,,HIGH,7.3,5,0,0,0
CVE-2024-9961,,HIGH,8.8,2,0,0,1
CVE-2022-45381,,HIGH,8.1,4,0,0,3
CVE-2022-28872,,MEDIUM,4.3,2,0,0,3
CVE-2024-52298,,HIGH,7.5,1,0,0,1
CVE-2025-31883,,MEDIUM,5.9,1,0,0,0
CVE-2020-11749,,CRITICAL,9.0,8,0,0,5
CVE-2024-9986,,HIGH,7.3,5,0,0,1
CVE-2024-32021,,LOW,3.9,9,0,0,1
CVE-2022-40494,,CRITICAL,9.8,4,0,0,3
CVE-2024-21460,,HIGH,7.1,2,0,0,1
