cve_id,published,years_since_published,cvss_score,severity,references_count,weaknesses_count,has_windows,has_linux,has_android,os_count,description_text,risk_score
CVE-2017-20188,,0.24,6.5,MEDIUM,0,0,0,0,0,0,vulnerability has been found zimbra zm ajax up classified problematic affected vulnerability function xformitem prototype seterror file webroot js ajax dwt xforms xformitem js manipulation argument message leads cross site scripting attack can launched remotely complexity attack rather high exploitation appears difficult upgrading able address issue identifier patch 8d039d6efe80780adc40c6f670c06d21de272105 recommended upgrade affected component identifier vdb assigned vulnerability,30.0
CVE-2018-25095,,0.24,6.5,MEDIUM,0,0,0,0,0,0,duplicator wordpress plugin before does not properly escape values when installer script replaces values wordpress configuration files if installer script left site after use could use run arbitrary code server,30.0
CVE-2018-25097,,0.24,6.5,MEDIUM,0,0,0,0,0,0,vulnerability classified problematic found acumos design studio up affected unknown function manipulation leads cross site scripting possible launch attack remotely upgrading able address issue name patch 0df8a5e8722188744973168648e4c74c69ce67fd recommended upgrade affected component identifier vulnerability vdb,30.0
CVE-2018-25115,2025-08-27 22:15:31.370,0.25,10.0,CRITICAL,5,1,0,0,0,0,multiple link dir series routers including dir dir dir dir dir dir dir firmware contain vulnerability service cgi endpoint allows remote attackers execute arbitrary system commands without authentication flaw stems improper input handling event checkfw parameter passed directly system shell without sanitization crafted http post request can inject commands executed root privileges resulting full device compromise these router models no longer supported time assignment affected ranges may vary exploitation evidence first observed shadowserver foundation utc,100.0
CVE-2020-13878,,0.24,6.5,MEDIUM,0,0,0,0,0,0,irfanview b3d plugins before has b3d dll 27ef heap based out bounds write,30.0
CVE-2020-13879,,0.24,6.5,MEDIUM,0,0,0,0,0,0,irfanview b3d plugins before has b3d dll 214f heap based out bounds write,30.0
CVE-2020-13880,,0.24,6.5,MEDIUM,0,0,0,0,0,0,irfanview b3d plugins before has b3d dll 1cbf heap based out bounds write,30.0
CVE-2020-26623,,0.24,6.5,MEDIUM,0,0,0,0,0,0,sql injection vulnerability discovered gila cms earlier allows remote attacker execute arbitrary web scripts via area parameter under administration widget tab after login portal,30.0
CVE-2020-26624,,0.24,6.5,MEDIUM,0,0,0,0,0,0,sql injection vulnerability discovered gila cms earlier allows remote attacker execute arbitrary web scripts via id parameter after login portal,30.0
CVE-2020-26625,,0.24,6.5,MEDIUM,0,0,0,0,0,0,sql injection vulnerability discovered gila cms earlier allows remote attacker execute arbitrary web scripts via user id parameter after login portal,30.0
CVE-2020-26627,,0.24,6.5,MEDIUM,0,0,0,0,0,0,time based sql injection vulnerability discovered hospital management system v4 can allow attacker dump database information via crafted payload entered into admin remark parameter under contact us queries unread query tab,30.0
CVE-2020-26628,,0.24,6.5,MEDIUM,0,0,0,0,0,0,cross site scripting xss vulnerability discovered hospital management system v4 allows attacker execute arbitrary web scripts html code via malicious payload appended username edit profile page triggered another user visiting profile,30.0
CVE-2020-26629,,0.24,6.5,MEDIUM,0,0,0,0,0,0,jquery unrestricted arbitrary file upload vulnerability discovered hospital management system v4 allows unauthenticated attacker upload any file server,30.0
CVE-2020-26630,,0.24,6.5,MEDIUM,0,0,0,0,0,0,time based sql injection vulnerability discovered hospital management system v4 can allow attacker dump database information via special payload doctor specialization field under go doctors tab after logging admin,30.0
CVE-2020-36770,,0.24,6.5,MEDIUM,0,0,0,0,0,0,pkg postinst gentoo ebuild slurm through unnecessarily calls chown assign root ownership files live root filesystem could exploited slurm user become owner root owned files,30.0
CVE-2021-3600,,0.24,6.5,MEDIUM,0,0,0,1,0,1,discovered ebpf implementation linux kernel did not properly track bounds information bit registers when performing div mod operations local attacker could use possibly execute arbitrary code,30.0
CVE-2021-40367,,0.24,6.5,MEDIUM,0,0,0,0,0,0,vulnerability has been identified syngo fastview all versions affected application lacks proper validation user supplied data when parsing dicom files could result out bounds write past end allocated structure attacker could leverage vulnerability execute code context current process zdi can,30.0
CVE-2021-42028,,0.24,6.5,MEDIUM,0,0,0,0,0,0,vulnerability has been identified syngo fastview all versions affected application lacks proper validation user supplied data when parsing bmp files could result out bounds write past end allocated structure attacker could leverage vulnerability execute code context current process zdi can,30.0
CVE-2021-4459,2025-08-27 08:15:31.937,0.25,6.5,MEDIUM,1,1,0,0,0,0,authorized remote attacker can access files directories outside intended web root potentially exposing sensitive system information affected sunny boy devices,65.0
CVE-2021-45465,,0.24,6.5,MEDIUM,0,0,0,0,0,0,vulnerability has been identified syngo fastview all versions affected application lacks proper validation user supplied data when parsing bmp files could result write what where condition attacker could leverage vulnerability execute code context current process zdi can,30.0
CVE-2022-2081,,0.24,6.5,MEDIUM,0,0,0,0,0,0,vulnerability exists hci modbus tcp function included versions listed above if hci modbus tcp enabled configured attacker could exploit vulnerability sending specially crafted message rtu500 high rate causing targeted rtu500 cmu reboot vulnerability caused lack flood control eventually if exploited causes internal stack overflow hci modbus tcp function,30.0
CVE-2022-2585,,0.24,6.5,MEDIUM,0,0,0,1,0,1,discovered when exec ing non leader thread armed posix cpu timers would left list but freed leading use after free,30.0
CVE-2022-2586,,0.24,6.5,MEDIUM,0,0,0,1,0,1,discovered nft object expression could reference nft set different nft table leading use after free once table deleted,30.0
CVE-2022-2588,,0.24,6.5,MEDIUM,0,0,0,1,0,1,discovered cls route filter implementation linux kernel would not remove old filter hashtable before freeing if handle had value,30.0
CVE-2022-2602,,0.24,6.5,MEDIUM,0,0,0,1,0,1,io uring uaf unix scm garbage collection,30.0
CVE-2022-28975,,0.24,6.5,MEDIUM,0,0,0,0,0,0,stored cross site scripting xss vulnerability infoblox nios v8 allows attackers execute arbitrary web scripts html via crafted payload injected into vlan view name field,30.0
CVE-2022-3010,,0.24,6.5,MEDIUM,0,0,0,0,0,0,priva topcontrol suite contains predictable credentials ssh service based serial number makes possible attacker calculate login credentials priva topcontroll suite,30.0
CVE-2022-32919,,0.24,6.5,MEDIUM,0,0,0,0,0,0,issue addressed improved ui handling issue fixed ios ipados macos ventura visiting website frames malicious content may lead ui spoofing,30.0
CVE-2022-32931,,0.24,6.5,MEDIUM,0,0,0,0,0,0,issue addressed improved data protection issue fixed macos ventura app root privileges may able access private information,30.0
CVE-2022-3328,,0.24,6.5,MEDIUM,0,0,0,1,0,1,race condition snap confine must mkdir open perms,30.0
CVE-2022-34344,,0.24,6.5,MEDIUM,0,0,0,0,0,0,missing authorization vulnerability rymera web co wholesale suite woocommerce wholesale prices b2b catalog mode order form wholesale user roles dynamic pricing more issue affects wholesale suite woocommerce wholesale prices b2b catalog mode order form wholesale user roles dynamic pricing more through,30.0
CVE-2022-36352,,0.24,6.5,MEDIUM,0,0,0,0,0,0,missing authorization vulnerability profilegrid profilegrid user profiles memberships groups communities issue affects profilegrid user profiles memberships groups communities through,30.0
CVE-2022-36763,,0.24,6.5,MEDIUM,0,0,0,0,0,0,edk2 susceptible vulnerability tcg2measuregpttable function allowing user trigger heap buffer overflow via local network successful exploitation vulnerability may result compromise confidentiality integrity availability,30.0
CVE-2022-36764,,0.24,6.5,MEDIUM,0,0,0,0,0,0,edk2 susceptible vulnerability tcg2measurepeimage function allowing user trigger heap buffer overflow via local network successful exploitation vulnerability may result compromise confidentiality integrity availability,30.0
CVE-2022-36765,,0.24,6.5,MEDIUM,0,0,0,0,0,0,edk2 susceptible vulnerability createhob function allowing user trigger integer overflow buffer overflow via local network successful exploitation vulnerability may result compromise confidentiality integrity availability,30.0
CVE-2022-3864,,0.24,6.5,MEDIUM,0,0,0,0,0,0,vulnerability exists relion package signature validation tampered package could cause ied restart after restart device back normal operation attacker could exploit vulnerability first gaining access system security privileges attempt ied malicious package successful exploitation vulnerability will cause ied restart causing temporary denial service,30.0
CVE-2022-38691,2025-09-01 08:15:31.240,0.24,7.8,HIGH,1,1,0,0,0,0,bootrom there possible missing validation certificate type could lead local escalation privilege no additional execution privileges needed,78.0
CVE-2022-38692,2025-09-01 08:15:31.973,0.24,9.8,CRITICAL,1,1,0,0,0,0,bootrom there missing size check rsa keys certificate type validation could lead memory buffer overflow without requiring additional execution privileges,98.0
CVE-2022-38693,2025-09-01 08:15:32.100,0.24,9.8,CRITICAL,1,1,0,0,0,0,fdl1 there possible missing payload size check could lead memory buffer overflow without requiring additional execution privileges,98.0
CVE-2022-38694,2025-09-01 08:15:32.220,0.24,7.8,HIGH,1,1,0,0,0,0,bootrom there possible unchecked write address could lead local escalation privilege no additional execution privileges needed,78.0
CVE-2022-38695,2025-09-01 08:15:32.333,0.24,7.8,HIGH,1,1,0,0,0,0,bootrom there possible unchecked command index could lead local escalation privilege no additional execution privileges needed,78.0
CVE-2022-38696,2025-09-01 08:15:32.447,0.24,9.8,CRITICAL,1,1,0,0,0,0,bootrom there possible missing payload size check could lead memory buffer overflow without requiring additional execution privileges,98.0
CVE-2022-40361,,0.24,6.5,MEDIUM,0,0,0,0,0,0,cross site scripting vulnerability elite crm v1 allows attacker execute arbitrary code via language parameter ngs login endpoint,30.0
CVE-2022-40696,,0.24,6.5,MEDIUM,0,0,0,0,0,0,exposure sensitive information unauthorized actor vulnerability wp engine advanced custom fields acf issue affects advanced custom fields acf through,30.0
CVE-2022-42816,,0.24,6.5,MEDIUM,0,0,0,0,0,0,logic issue addressed improved state management issue fixed macos ventura app may able modify protected parts file system,30.0
CVE-2022-42839,,0.24,6.5,MEDIUM,0,0,0,0,0,0,issue addressed improved redaction sensitive information issue fixed ios ipados macos ventura app may able read sensitive location information,30.0
CVE-2022-45354,,0.24,6.5,MEDIUM,0,0,0,0,0,0,exposure sensitive information unauthorized actor vulnerability wpchill download monitor issue affects download monitor through,30.0
CVE-2022-45793,,0.24,6.5,MEDIUM,0,0,0,0,0,0,sysmac studio installs executables directory poor permissions can allow locally authenticated attacker overwrite files will result code execution privileges different user,30.0
CVE-2022-45794,,0.24,6.5,MEDIUM,0,0,0,0,0,0,attacker network access affected plc cj series cs series plcs all versions may use network protocol read write files plc internal memory memory card,30.0
CVE-2022-46025,,0.24,6.5,MEDIUM,0,0,0,0,0,0,totolink n200re v5 v9 5u b20211224 vulnerable incorrect access control device allows remote attackers obtain wi fi system information such wi fi ssid wi fi password without logging into management page,30.0
CVE-2022-46710,,0.24,6.5,MEDIUM,0,0,0,0,0,0,logic issue addressed improved checks issue fixed ios ipados macos ventura location data may shared via icloud links even if location metadata disabled via share sheet,30.0
CVE-2022-46721,,0.24,6.5,MEDIUM,0,0,0,0,0,0,issue addressed improved memory handling issue fixed macos ventura app may able execute arbitrary code kernel privileges,30.0
CVE-2022-46839,,0.24,6.5,MEDIUM,0,0,0,0,0,0,unrestricted upload file dangerous type vulnerability js help desk js help desk best help desk support plugin issue affects js help desk best help desk support plugin through,30.0
CVE-2022-47915,,0.24,6.5,MEDIUM,0,0,0,0,0,0,issue addressed improved memory handling issue fixed macos ventura app may able execute arbitrary code kernel privileges,30.0
CVE-2022-47965,,0.24,6.5,MEDIUM,0,0,0,0,0,0,issue addressed improved memory handling issue fixed macos ventura app may able execute arbitrary code kernel privileges,30.0
CVE-2022-48504,,0.24,6.5,MEDIUM,0,0,0,0,0,0,issue addressed improved handling caches issue fixed macos ventura app may able access user sensitive data,30.0
CVE-2022-48577,,0.24,6.5,MEDIUM,0,0,0,0,0,0,access issue addressed improved access restrictions issue fixed macos ventura app may able access user sensitive data,30.0
CVE-2022-48618,,0.24,6.5,MEDIUM,0,0,0,0,0,0,issue addressed improved checks issue fixed macos ventura watchos ios ipados tvos attacker arbitrary read write capability may able bypass pointer authentication apple aware report issue may have been exploited against versions ios before ios,30.0
CVE-2022-48619,,0.24,6.5,MEDIUM,0,0,0,1,0,1,issue discovered drivers input input linux kernel before attacker can cause denial service panic because input set capability mishandles situation event code falls outside bitmap,30.0
CVE-2022-48620,,0.24,6.5,MEDIUM,0,0,0,0,0,0,uev aka libuev before has buffer overflow epoll wait if maxevents large number,30.0
CVE-2022-4958,,0.24,6.5,MEDIUM,0,0,0,0,0,0,vulnerability classified problematic has been found qkmc rk redbbs affected unknown function component post handler manipulation argument title leads cross site scripting possible launch attack remotely exploit has been disclosed public may used identifier vulnerability vdb,30.0
CVE-2022-4959,,0.24,6.5,MEDIUM,0,0,0,0,0,0,vulnerability classified problematic found qkmc rk redbbs affected vulnerability unknown functionality component nickname handler manipulation leads cross site scripting attack can launched remotely exploit has been disclosed public may used identifier vdb assigned vulnerability,30.0
CVE-2022-4960,,0.24,6.5,MEDIUM,0,0,0,0,0,0,vulnerability classified problematic has been found cloudfavorites favorites web affected issue some unknown functionality component nickname handler manipulation leads cross site scripting attack may launched remotely exploit has been disclosed public may used vdb identifier assigned vulnerability,30.0
CVE-2022-4961,,0.24,6.5,MEDIUM,0,0,0,0,0,0,vulnerability found weitong mall has been declared critical affected vulnerability unknown functionality file platform shop src main resources com platform dao orderdao xml manipulation argument sidx order leads sql injection associated identifier vulnerability vdb,30.0
CVE-2022-4962,,0.24,6.5,MEDIUM,0,0,0,0,0,0,vulnerability found apollo classified problematic affected issue some unknown functionality file users component configuration center manipulation leads improper authorization attack may launched remotely exploit has been disclosed public may used real existence vulnerability still doubted moment vdb identifier assigned vulnerability note maintainer explains user data information like user id name email not sensitive,30.0
CVE-2023-0437,,0.24,6.5,MEDIUM,0,0,0,0,0,0,when calling bson utf8 validate some inputs loop exit condition cannot reached may occur infinite loop issue affects all mongodb driver versions versions,30.0
CVE-2023-1032,,0.24,6.5,MEDIUM,0,0,0,1,0,1,linux kernel io uring ioring op socket operation contained double free function sys socket file file net socket issue introduced da214a475f8bd1d3e9e7a19ddfeb4d1617551bab fixed 649c15c7691e9b13cbe9bf6c65c365350e056067,30.0
CVE-2023-2030,,0.24,6.5,MEDIUM,0,0,0,0,0,0,issue has been discovered gitlab ce ee affecting all versions attacker could potentially modify metadata signed commits,30.0
CVE-2023-20573,,0.24,6.5,MEDIUM,0,0,0,0,0,0,privileged attacker can prevent delivery debug exceptions sev snp guests potentially resulting guests not receiving expected debug information,30.0
CVE-2023-21125,2025-08-26 23:15:30.233,0.25,8.0,HIGH,2,1,0,0,1,1,btif hh hsdata rpt copy cb bta hh cc there possible way corrupt memory due use after free could lead local escalation privilege over bluetooth no additional execution privileges needed user interaction not needed exploitation,80.0
CVE-2023-21466,2025-09-03 06:15:38.243,0.23,5.3,MEDIUM,1,1,0,0,0,0,pendingintent hijacking vulnerability certificatepolicy framework smr apr release allows local attackers access contentprovider without proper permission,53.0
CVE-2023-21467,2025-09-03 06:15:39.013,0.23,4.6,MEDIUM,1,1,0,0,0,0,error 3gpp specification implementation exynos baseband smr apr release allows incorrect handling unencrypted message,46.0
CVE-2023-21468,2025-09-03 06:15:39.347,0.23,5.9,MEDIUM,1,0,0,0,0,0,improper access control vulnerability telephony smr apr release allows attackers access files escalated permission,59.0
CVE-2023-21469,2025-09-03 06:15:39.700,0.23,4.0,MEDIUM,1,0,0,0,1,1,improper access control vulnerability slocation smr apr release allows local attackers get device location information using com samsung android wifi geofence action,40.0
CVE-2023-21470,2025-09-03 06:15:40.027,0.23,4.0,MEDIUM,1,0,0,0,1,1,improper access control vulnerability slocation smr apr release allows local attackers get device location information using com samsung android wifi network location action,40.0
CVE-2023-21471,2025-09-03 06:15:40.293,0.23,4.0,MEDIUM,1,1,0,0,0,0,improper access control vulnerability semclipboard smr apr release allows attackers read arbitrary files system permission,40.0
CVE-2023-21472,2025-09-03 06:15:40.643,0.23,6.8,MEDIUM,1,1,0,0,0,0,improper input validation exynos fastboot usb interface smr apr release allows physical attacker execute arbitrary code bootloader,68.0
CVE-2023-21473,2025-09-03 06:15:40.933,0.23,6.8,MEDIUM,1,1,0,0,0,0,improper input validation exynos fastboot usb interface smr apr release allows physical attacker execute arbitrary code bootloader,68.0
CVE-2023-21474,2025-09-03 06:15:41.253,0.23,6.3,MEDIUM,1,0,0,0,0,0,intent redirection vulnerability secsettings smr apr release allows attackers access arbitrary file system privilege,63.0
CVE-2023-21475,2025-09-03 06:15:41.540,0.23,8.0,HIGH,1,1,0,0,0,0,out bounds write vulnerability libaudiosaplus sec so library smr apr release allows local attacker execute arbitrary code,80.0
CVE-2023-21476,2025-09-03 06:15:41.823,0.23,8.0,HIGH,1,1,0,0,0,0,out bounds write vulnerability libaudiosaplus sec so library smr apr release allows local attacker execute arbitrary code,80.0
CVE-2023-21477,2025-09-03 06:15:42.313,0.23,7.9,HIGH,1,0,0,0,0,0,access memory location after end buffer vulnerability tigerf trustlet smr apr release allows local attackers access protected data,79.0
CVE-2023-21478,2025-09-03 06:15:42.700,0.23,6.0,MEDIUM,1,0,0,0,0,0,improper input validation vulnerability tigerf trustlet smr apr release allows local attackers access protected data,60.0
CVE-2023-21479,2025-09-03 06:15:42.960,0.23,5.3,MEDIUM,1,0,0,0,1,1,improper authorization smart suggestions smr apr release android android allows remote attackers register schedule,53.0
CVE-2023-21480,2025-09-03 06:15:43.277,0.23,8.5,HIGH,1,0,0,0,0,0,improper input validation vulnerability certbyte smr apr release allows local attackers launch privileged activities,85.0
CVE-2023-21481,2025-09-03 06:15:43.557,0.23,5.4,MEDIUM,1,0,0,0,0,0,improper url input validation vulnerability samsung account application allows remote attackers get sensitive information,54.0
CVE-2023-21482,2025-09-03 06:15:43.890,0.23,6.1,MEDIUM,1,0,0,0,1,1,missing authorization vulnerability camera versions android android android allows physical attackers install package through galaxy store before completion setup wizard,61.0
CVE-2023-21483,2025-09-03 06:15:44.140,0.23,6.4,MEDIUM,1,0,0,0,0,0,improper access control vulnerability galaxy store allows local attacker access protected data using exported service,64.0
CVE-2023-26157,,0.24,6.5,MEDIUM,0,0,0,0,0,0,versions package libredwg before vulnerable denial service dos due out bounds read involving section num pages decode r2007,30.0
CVE-2023-26159,,0.24,6.5,MEDIUM,0,0,0,0,0,0,versions package follow redirects before vulnerable improper input validation due improper handling urls url parse function when new url throws error can manipulated misinterpret hostname attacker could exploit weakness redirect traffic malicious site potentially leading information disclosure phishing attacks other security breaches,30.0
CVE-2023-26998,,0.24,6.5,MEDIUM,0,0,0,0,0,0,cross site scripting vulnerability found netscoutngeniusone allows remote attacker execute arbitrary code via creator parameter alert configuration page,30.0
CVE-2023-26999,,0.24,6.5,MEDIUM,0,0,0,0,0,0,issue found netscout ngeniusone allows remote attacker execute arbitrary code cause denial service via crafted file,30.0
CVE-2023-27000,,0.24,6.5,MEDIUM,0,0,0,0,0,0,cross site scripting vulnerability found netscoutngeniusone allows remote attacker execute arbitrary code via name parameter profile exclusion list page,30.0
CVE-2023-27098,,0.24,6.5,MEDIUM,0,0,0,0,0,0,tp link tapo apk up v2 uses hardcoded credentials access login panel,30.0
CVE-2023-27739,,0.24,6.5,MEDIUM,0,0,0,0,0,0,easyxdm allows xss via xdm parameter,30.0
CVE-2023-28185,,0.24,6.5,MEDIUM,0,0,0,0,0,0,integer overflow addressed through improved input validation issue fixed tvos macos big sur ios ipados watchos macos monterey ios ipados app may able cause denial service,30.0
CVE-2023-28197,,0.24,6.5,MEDIUM,0,0,0,0,0,0,access issue addressed additional sandbox restrictions issue fixed macos ventura macos big sur macos monterey app may able access user sensitive data,30.0
CVE-2023-28583,,0.24,6.5,MEDIUM,0,0,0,0,0,0,memory corruption when ipv6 prefix timer object lifetime expires created while netmgr daemon gets ipv6 address,30.0
CVE-2023-28897,,0.24,6.5,MEDIUM,0,0,0,0,0,0,secret value used access critical uds services mib3 infotainment hardcoded firmware vulnerability discovered koda superb iii 3v3 tdi manufactured,30.0
CVE-2023-28898,,0.24,6.5,MEDIUM,0,0,0,0,0,0,real time streaming protocol implementation mib3 infotainment incorrectly handles requests logs uri when id parameter equals zero issue allows attacker connected vehicle wi fi network cause denial service infotainment system when certain preconditions met vulnerability discovered koda superb iii 3v3 tdi manufactured,30.0
CVE-2023-28899,,0.24,6.5,MEDIUM,0,0,0,0,0,0,sending specific reset uds request via obdii port skoda vehicles possible cause vehicle engine shutdown denial service other vehicle components even when vehicle moving high speed no safety critical functions affected,30.0
CVE-2023-29048,,0.24,6.5,MEDIUM,0,0,0,0,0,0,component parsing oxmf templates could abused execute arbitrary system commands would executed non privileged runtime user users attackers could run system commands limited privilege gain unauthorized access confidential information potentially violate integrity modifying resources template engine has been reconfigured deny execution harmful commands system level no publicly available exploits known,30.0
CVE-2023-29049,,0.24,6.5,MEDIUM,0,0,0,0,0,0,upsell widget portal page could abused inject arbitrary script code attackers manage lure users compromised account gain temporary access legitimate account could inject script code gain persistent code execution capabilities under trusted domain user input widget now sanitized avoid malicious content processed no publicly available exploits known,30.0
CVE-2023-29050,,0.24,6.5,MEDIUM,0,0,0,0,0,0,optional ldap contacts provider could abused privileged users inject ldap filter strings allow access content outside intended hierarchy unauthorized users could break confidentiality information directory potentially cause high load directory server leading denial service encoding has been added user provided fragments used when constructing ldap query no publicly available exploits known,30.0
CVE-2023-29051,,0.24,6.5,MEDIUM,0,0,0,0,0,0,user defined oxmf templates could used access limited part internal ox app suite java api existing switch disable feature default not effective case unauthorized users could discover modify application state including objects related other users contexts we now make sure switch disable user generated templates default works intended will remove feature future generations no publicly available exploits known,30.0
CVE-2023-29052,,0.24,6.5,MEDIUM,0,0,0,0,0,0,users able define disclaimer texts upsell shop dialog would contain script code not sanitized correctly attackers could lure victims user accounts malicious script code make them execute context trusted domain we added sanitization content no publicly available exploits known,30.0
CVE-2023-29444,,0.24,6.5,MEDIUM,0,0,0,0,0,0,uncontrolled search path element vulnerability dll hijacking has been discovered could allow locally authenticated adversary escalate privileges system alternatively they could host trojanized software trick victims into downloading installing their malicious gain initial access code execution,30.0
CVE-2023-29445,,0.24,6.5,MEDIUM,0,0,0,0,0,0,uncontrolled search path element vulnerability dll hijacking has been discovered could allow locally authenticated adversary escalate privileges system,30.0
CVE-2023-29446,,0.24,6.5,MEDIUM,0,0,0,0,0,0,improper input validation vulnerability has been discovered could allow adversary inject unc path via malicious project file allows adversary capture nltmv2 hashes potentially crack them offline,30.0
CVE-2023-29447,,0.24,6.5,MEDIUM,0,0,0,0,0,0,insufficiently protected credentials vulnerability kepserverex could allow adversary capture user credentials web server uses basic authentication,30.0
CVE-2023-29962,,0.24,6.5,MEDIUM,0,0,0,0,0,0,cms v5 discovered contain arbitrary file read vulnerability,30.0
CVE-2023-30014,,0.24,6.5,MEDIUM,0,0,0,0,0,0,sql injection vulnerability oretnom23 judging management system v1 allows remote attackers execute arbitrary code obtain sensitive information via sub event id parameter sub event stat php,30.0
CVE-2023-30015,,0.24,6.5,MEDIUM,0,0,0,0,0,0,sql injection vulnerability oretnom23 judging management system v1 allows remote attackers execute arbitrary code obtain sensitive information via txtsearch parameter review search php,30.0
CVE-2023-30016,,0.24,6.5,MEDIUM,0,0,0,0,0,0,sql injection vulnerability oretnom23 judging management system v1 allows remote attackers execute arbitrary code obtain sensitive information via sub event id parameter sub event details edit php,30.0
CVE-2023-3043,,0.24,6.5,MEDIUM,0,0,0,0,0,0,ami spx contains vulnerability bmc where attacker may cause stack based buffer overflow via adjacent network successful exploitation vulnerability may lead loss confidentiality integrity availability,30.0
