description_text,cvss_score,references_count,weaknesses_count,os_count,severity,years_since_published
SQL injection sample 64,7.8,3,1,1,HIGH,0.1
SQL injection sample 65,7.8,3,1,1,HIGH,0.1
SQL injection sample 66,7.8,3,1,1,HIGH,0.1
SQL injection sample 67,7.8,3,1,1,HIGH,0.1
SQL injection sample 68,7.8,3,1,1,HIGH,0.1
SQL injection sample 69,7.8,3,1,1,HIGH,0.1
SQL injection sample 70,7.8,3,1,1,HIGH,0.1
SQL injection sample 71,7.8,3,1,1,HIGH,0.1
SQL injection sample 72,7.8,3,1,1,HIGH,0.1
SQL injection sample 73,7.8,3,1,1,HIGH,0.1
SQL injection sample 74,7.8,3,1,1,HIGH,0.1
SQL injection sample 75,7.8,3,1,1,HIGH,0.1
SQL injection sample 76,7.8,3,1,1,HIGH,0.1
SQL injection sample 77,7.8,3,1,1,HIGH,0.1
SQL injection sample 78,7.8,3,1,1,HIGH,0.1
SQL injection sample 79,7.8,3,1,1,HIGH,0.1
SQL injection sample 80,7.8,3,1,1,HIGH,0.1
SQL injection sample 81,7.8,3,1,1,HIGH,0.1
SQL injection sample 82,7.8,3,1,1,HIGH,0.1
SQL injection sample 83,7.8,3,1,1,HIGH,0.1
SQL injection sample 84,7.8,3,1,1,HIGH,0.1
SQL injection sample 85,7.8,3,1,1,HIGH,0.1
SQL injection sample 86,7.8,3,1,1,HIGH,0.1
SQL injection sample 87,7.8,3,1,1,HIGH,0.1
SQL injection sample 88,7.8,3,1,1,HIGH,0.1
SQL injection sample 89,7.8,3,1,1,HIGH,0.1
SQL injection sample 90,7.8,3,1,1,HIGH,0.1
SQL injection sample 91,7.8,3,1,1,HIGH,0.1
SQL injection sample 92,7.8,3,1,1,HIGH,0.1
SQL injection sample 93,7.8,3,1,1,HIGH,0.1
SQL injection sample 94,7.8,3,1,1,HIGH,0.1
SQL injection sample 95,7.8,3,1,1,HIGH,0.1
SQL injection sample 96,7.8,3,1,1,HIGH,0.1
SQL injection sample 97,7.8,3,1,1,HIGH,0.1
SQL injection sample 98,7.8,3,1,1,HIGH,0.1
SQL injection sample 99,7.8,3,1,1,HIGH,0.1
